periodo,momento,nrc,programa_codigo,programa_nombre,asignatura
202685,1,1813,AEM9,Vicerrectoria Regionales,Fundamentación Sg Sst
202685,1,1814,AEM9,Vicerrectoria Regionales,Estructuración del Sistema De
202685,1,1815,AEM9,Vicerrectoria Regionales,Requisitos del Sistema
202685,1,1816,AEM9,Vicerrectoria Regionales,Gestión Integral en Sst
202685,1,1821,DGQ9,Dp Op en Gest Estrat Talent Hu,Módulo 1 Selección y Capatació
202685,1,1822,DGQ9,Dp Op en Gest Estrat Talent Hu,Módulo 2 Elaboración de Manual
202685,1,1823,DGQ9,Dp Op en Gest Estrat Talent Hu,Módulo 3 Sistema de Gestión
202685,1,1824,DGQ9,Dp Op en Gest Estrat Talent Hu,Módulo 4 Cuarta Revolución Ind
202685,1,1825,DMW9,Dp en Marketing Digital e IAS,Dp en Marketing Digital e IAS
202685,1,1826,DSM9,Vicerrectoria Regionales,Módulo 1 Módulo 2
202685,1,1827,DSM9,Vicerrectoria Regionales,Módulo 3 Módulo 4
202685,1,1828,DSM9,Vicerrectoria Regionales,Modulo 5 Modulo 6
202685,1,1829,DSM9,Vicerrectoria Regionales,Modulo 7
202685,1,1830,DTR9,Vicerrectoria Regionales,Módulo 1 Impuestos
202685,1,1831,DTR9,Vicerrectoria Regionales,Módulo 2 Impuestos Directos
202685,1,1832,DTR9,Vicerrectoria Regionales,Módulo 3 Procedimiento
202685,1,1833,DTR9,Vicerrectoria Regionales,Módulo 4 Planeación
202685,1,1834,DTR9,Vicerrectoria Regionales,Módulo 1 Impuestos
202685,1,1835,DTR9,Vicerrectoria Regionales,Módulo 2 Impuestos Directos
202685,1,1836,DTR9,Vicerrectoria Regionales,Módulo 3 Procedimiento
