periodo,momento,nrc,programa_codigo,programa_nombre,asignatura
202685,1,85-1813,AEM9,Vicerrectoria Regionales,Fundamentación Sg Sst
202685,1,85-1814,AEM9,Vicerrectoria Regionales,Estructuración del Sistema De
202685,1,85-1815,AEM9,Vicerrectoria Regionales,Requisitos del Sistema
202685,1,85-1816,AEM9,Vicerrectoria Regionales,Gestión Integral en Sst
202685,1,85-1821,DGQ9,Dp Op en Gest Estrat Talent Hu,Módulo 1 Selección y Capatació
202685,1,85-1822,DGQ9,Dp Op en Gest Estrat Talent Hu,Módulo 2 Elaboración de Manual
202685,1,85-1823,DGQ9,Dp Op en Gest Estrat Talent Hu,Módulo 3 Sistema de Gestión
202685,1,85-1824,DGQ9,Dp Op en Gest Estrat Talent Hu,Módulo 4 Cuarta Revolución Ind
202685,1,85-1825,DMW9,Dp en Marketing Digital e IAS,Dp en Marketing Digital e IAS
202685,1,85-1826,DSM9,Vicerrectoria Regionales,Módulo 1 Módulo 2
202685,1,85-1827,DSM9,Vicerrectoria Regionales,Módulo 3 Módulo 4
202685,1,85-1828,DSM9,Vicerrectoria Regionales,Modulo 5 Modulo 6
202685,1,85-1829,DSM9,Vicerrectoria Regionales,Modulo 7
202685,1,85-1830,DTR9,Vicerrectoria Regionales,Módulo 1 Impuestos
202685,1,85-1831,DTR9,Vicerrectoria Regionales,Módulo 2 Impuestos Directos
202685,1,85-1832,DTR9,Vicerrectoria Regionales,Módulo 3 Procedimiento
202685,1,85-1833,DTR9,Vicerrectoria Regionales,Módulo 4 Planeación
202685,1,85-1834,DTR9,Vicerrectoria Regionales,Módulo 1 Impuestos
202685,1,85-1835,DTR9,Vicerrectoria Regionales,Módulo 2 Impuestos Directos
202685,1,85-1836,DTR9,Vicerrectoria Regionales,Módulo 3 Procedimiento
202685,1,85-1837,DTR9,Vicerrectoria Regionales,Módulo 4 Planeación
202685,1,85-1838,PBI9,Dp Op Business Intelligence BI,Dp Op Business Intelligence BI
202685,1,85-1851,ATR9,Dip Op en Actualiz Tributaría,Imp  Val Agr Iva Ret en la Fue
202685,1,85-1852,ATR9,Dip Op en Actualiz Tributaría,Impuesto de Renta
202685,1,85-1853,ATR9,Dip Op en Actualiz Tributaría,Proced Tribu e Inform Electrón
202685,1,85-1854,ATR9,Dip Op en Actualiz Tributaría,Imp  Val Agr Iva Ret en la Fue
202685,1,85-1855,ATR9,Dip Op en Actualiz Tributaría,Impuesto de Renta
202685,1,85-1856,ATR9,Dip Op en Actualiz Tributaría,Proced Tribu e Inform Electrón
202685,1,85-1857,DFA9,Dp Op Familia Infancia Adolesc,Dp Op Familia Infancia Adolesc
202685,1,85-1858,FTA9,Vicerrectoria Regionales,Fundamentos para el Acompañami
202685,1,85-1859,FTA9,Vicerrectoria Regionales,Posturas Críticas Emancipadora
202685,1,85-1860,FTA9,Vicerrectoria Regionales,Técnicas Críticas y Participat
202685,1,85-1861,FTA9,Vicerrectoria Regionales,Procesos de Resistencia Social
202685,1,85-1862,DFY9,Vicerrectoria Regionales,Análisis e Identif del Problem
202685,1,85-1863,DFY9,Vicerrectoria Regionales,Etapa de Programación
202685,1,85-1864,DFY9,Vicerrectoria Regionales,Etapa de Diseño
202685,1,85-1865,DFY9,Vicerrectoria Regionales,Elaboración de la Matriz Marco
202685,1,85-1866,DDL9,Vicerrectoria Regionales,Teoría Literal
202685,1,85-1867,DDL9,Vicerrectoria Regionales,Historia Literatura Infantil
202685,1,85-1868,DDL9,Vicerrectoria Regionales,Literatura Infantil Universal
202685,1,85-1869,DDL9,Vicerrectoria Regionales,Literatura Hispanoamericana
202685,1,85-1870,DDL9,Vicerrectoria Regionales,Didáctica Literatura Infantil
202685,1,85-1871,DDL9,Vicerrectoria Regionales,Los Mediadores Ilustración
202685,1,85-1872,DDL9,Vicerrectoria Regionales,Recursos Didácticos
202641,1,41-68200,Contaduría Pública Distancia - Centro,Contaduría Pública Distancia - Centro,Metodología de la Investigac
202641,MD1,41-68201,Posgrados - Centro,Posgrados - Centro,Formulación de Proyectos
202641,MD2,41-68202,Posgrados - Centro,Posgrados - Centro,Evaluación de Proyectos
202641,MD1,41-68204,Posgrados - Centro,Posgrados - Centro,Ejecución de Proyectos
202641,MD2,41-68205,MS Gerencia Innovación Proyect - Centro,MS Gerencia Innovación Proyect - Centro,Direccionamiento Estratégico
202641,1,41-68206,Posgrados - Centro,Posgrados - Centro,Proyecto de Grado
202641,1,41-68207,Posgrados - Centro,Posgrados - Centro,Competencias Gerenciales Básic
202641,MD2,41-70080,EGP1,ESP EN GERENCIA DE PROYECTOS,Electiva I
202641,MD2,41-70081,Posgrados - Centro,Posgrados - Centro,Electiva II
202621,MD2,21-70254,Posgrados - Centro,Posgrados - Centro,Decisiones de Inversión
202621,MD1,21-70255,Posgrados - Centro,Posgrados - Centro,Fundamentos Financieros
202621,MD1,21-70256,Posgrados - Centro,Posgrados - Centro,Mercado de Dinero y Capital
202621,MD1,21-70260,Posgrados - Centro,Posgrados - Centro,Electiva Fintech
202621,MD1,21-70261,Posgrados - Centro,Posgrados - Centro,Finanzas Corporativas
202621,MD2,21-70262,Posgrados - Centro,Posgrados - Centro,Gestión del Riesgo Financiero
202621,1,21-70263,Posgrados - Centro,Posgrados - Centro,Opción de Grado
202621,MD1,21-70264,Posgrados - Centro,Posgrados - Centro,Higiene y Seguridad Industrial
