periodo,momento,nrc,programa_codigo,programa_nombre,asignatura
202615,1,15-72830,LENG,Dep Comunicacion Escrita proce,Lectura y Escritura en el Cont
202615,1,15-84317,LENG,Dep Comunicacion Escrita proce,Lectura y Escritura en el Cont
202615,1,15-84487,LENG,Dep Comunicacion Escrita proce,Com Escrita y Proce Lect I
202615,1,15-84638,LENG,Dep Comunicacion Escrita proce,Com Escrita y Proce Lect I
202615,1,15-84894,LENG,Dep Comunicacion Escrita proce,Lectura y Escritura en el Cont
202615,1,15-84896,LENG,Dep Comunicacion Escrita proce,Lectura y Escritura en el Cont
202615,1,15-84897,LENG,Dep Comunicacion Escrita proce,Lectura y Escritura en el Cont
202615,1,15-85356,DERE,Derecho,Teoría del Estado
202615,1,15-85357,LENG,Dep Comunicacion Escrita proce,Lectura y Escritura en el Cont
202615,1,15-85358,DERE,Derecho,Introducción al Derecho
202615,1,15-85359,DERE,Derecho,Derecho de las Personas
202615,1,15-85360,LENG,Dep Comunicacion Escrita proce,Com Escrita y Proce Lect I
202615,1,15-85361,UVFI,Iins Virtual y  a Distancia,Precálculo
202615,1,15-85362,UVFI,Iins Virtual y  a Distancia,Química
202615,1,15-85363,UVFI,Iins Virtual y  a Distancia,Geometría
202615,1,15-85719,OPGR,Vicerrectoría General Académic,Opción de Grado
202615,MD1,15-72554,UVCE,Iins Virtual y  a Distancia,Fundamentos de Matemáticas
202615,MD1,15-72559,UVCE,Iins Virtual y  a Distancia,Fundamentos de Matemáticas
202615,MD1,15-72630,AEMD,ADMINISTRACIÓN DE EMPRESAS,Introducción a la Administraci
202615,MD1,15-73706,MATE,Vicerrectoria Academica,Algebra Lineal
202615,MD1,15-79455,UVCE,Vicerrectoria Academica,Estadística Descriptiva
202615,MD1,15-85127,ASST,ADMIN SEGURIDAD SALUD TRABAJO,Peligros químicos y tecnológic
202615,MD1,15-85146,COPD,CONTADURÍA PÚBLICA DISTANCIA,Investigación Formativa
202615,MD1,15-85265,LEID,LI EN EDUCACION INFANTIL,Fundamentos en Educación y Ped
202615,MD1,15-85267,LEID,LI EN EDUCACION INFANTIL,Didáctica General
202615,MD1,15-85364,IINU,Iins Virtual y  a Distancia,Fundamentos de Ingeniería Indu
202610,1,10-87326,TRAU,TC EN REALIZACION AUDIOVISUAL,Realización Argumental
202610,1,10-87335,ISUM,INGENIERO DE SISTEMAS,Introd a la Ingenie de Sistem
202610,1,10-87337,ISUM,INGENIERO DE SISTEMAS,Lógica Matemática
202610,1,10-87339,TRSO,TRABAJO SOCIAL,Historia Socio Política de Col
202610,1,10-87342,ISUM,INGENIERO DE SISTEMAS,Precálculo
202610,1,10-87347,ISUM,INGENIERO DE SISTEMAS,Programación Básica
202610,1,10-87357,TRSO,TRABAJO SOCIAL,Ciencia Política
202610,1,10-87359,TRSO,TRABAJO SOCIAL,Análisis Histórico del Trabajo
202610,1,10-87372,ISUM,INGENIERO DE SISTEMAS,Interconectividad
202610,1,10-87466,ISUM,INGENIERO DE SISTEMAS,Plan de Negocios
202610,1,10-87478,ISUM,INGENIERO DE SISTEMAS,Matemáticas Discretas
202610,1,10-87682,LENG,Dep Comunicacion Escrita proce,Lectura y Escritura en el Cont
202610,1,10-87690,LENG,Dep Comunicacion Escrita proce,Com Escrita y Proce Lect I
202611,1,11-75097,EGDH,ES GERENCIA DESAR HUMANO ORGAN,Prosp Financier Gestión Humana
202611,1,11-75098,EGDH,ES GERENCIA DESAR HUMANO ORGAN,Metodología de la Investigació
202611,1,11-75099,EGDH,ES GERENCIA DESAR HUMANO ORGAN,Electiva I
202611,1,11-75260,EGRL,ES GCIA RIES LBLES SALUD TRAB,Legislación en Seguridad y Sal
202611,1,11-81017,EAIR,Esp Auditoría Integral y Revis,Auditoría Proces Electro Datos
202611,1,11-81291,EGDH,Vicerrectoria Academica,Principios y Competencias Gere
202611,1,11-81292,EGDH,Vicerrectoria Academica,Direccionamiento Estratégico
202611,1,11-81293,EGDH,Vicerrectoria Academica,Finanzas para Gerentes
202611,1,11-81294,EGDH,Vicerrectoria Academica,Globalización y Competitividad
202611,1,11-81295,EGDH,Vicerrectoria Academica,Elec Responsabilidad Social Y
202611,1,11-81345,EFIA,ESP FAMILIA INFANCIA ADOLESCEN,Derecho de Famil Infan Adolesc
202611,1,11-81347,EFIA,Vicerrectoría Académica,Teoría de Género
