periodo,nrc,momento,programa_codigo,programa_nombre,asignatura,banner_status,moodle_status,template
202615,15-72436,MD2,UVCE,Iins Virtual y  a Distancia,Presupuestos,,OK,VACIO
202615,15-72516,MD2,UVDE,Fac Ciencias Emp Adm Empresari,Proceso Administrativo,,PENDIENTE,UNKNOWN
202615,15-72522,MD2,UVCE,Iins Virtual y  a Distancia,Macroeconomía,,OK,D4
202615,15-72554,MD1,UVCE,Iins Virtual y  a Distancia,Fundamentos de Matemáticas,SIN_DOCENTE,PENDIENTE,UNKNOWN
202615,15-72559,MD1,UVCE,Iins Virtual y  a Distancia,Fundamentos de Matemáticas,SIN_DOCENTE,PENDIENTE,UNKNOWN
202615,15-72630,MD1,AEMD,ADMINISTRACIÓN DE EMPRESAS,Introducción a la Administraci,NO_ENCONTRADO,PENDIENTE,UNKNOWN
202615,15-72755,MD2,COPD,CONTADURÍA PÚBLICA DISTANCIA,Fundamentos de Economía,,OK,D4
202615,15-72774,MD2,FHUM,Direccion de Primer Semestre,Proyecto de Vida,,OK,VACIO
202615,15-72830,1,LENG,Dep Comunicacion Escrita proce,Lectura y Escritura en el Cont,SIN_DOCENTE,OK,VACIO
202615,15-73127,MD2,ETIC,Unidad de Etica,Ética Profesional,,PENDIENTE,UNKNOWN
202615,15-73297,MD2,UVCE,Iins Virtual y  a Distancia,Macroeconomía,,OK,D4
202615,15-73302,MD2,MATE,Vicerrectoría Académica,Fundamentos de Matemáticas,,PENDIENTE,UNKNOWN
202615,15-73368,MD2,AEMD,ADMINISTRACIÓN DE EMPRESAS,Introducción a la Investigacio,,PENDIENTE,UNKNOWN
202615,15-73627,MD2,AEMD,ADMINISTRACIÓN DE EMPRESAS,Desarrollo Empresar Colombia,,OK,VACIO
202615,15-73703,MD2,UVCE,Iins Virtual y  a Distancia,Fundam de Econom y Micro,,OK,D4
202615,15-73706,MD1,MATE,Vicerrectoria Academica,Algebra Lineal,SIN_DOCENTE,OK,VACIO
202615,15-73726,MD2,UVCE,Iins Virtual y  a Distancia,Matemática Financiera,,OK,D4
202615,15-79455,MD1,UVCE,Vicerrectoria Academica,Estadística Descriptiva,NO_ENCONTRADO,OK,VACIO
202615,15-79605,MD2,FCEA,Fac Ciencias Emp Adm Empresari,Gerencia social y solidaria,,OK,VACIO
