program_code,program_name,courses,with_teacher,without_teacher,periods,examples
"UVCE","Iins Virtual y  a Distancia",23,11,12,"202615|202621|202641","202615:15-72433 | 202615:15-72436 | 202615:15-72522 | 202615:15-72554 | 202615:15-72559 | 202615:15-73134 | 202615:15-73297 | 202615:15-73680"
"LEID","LI EN EDUCACION INFANTIL",22,18,4,"202615","202615:15-84958 | 202615:15-84961 | 202615:15-84973 | 202615:15-84991 | 202615:15-84993 | 202615:15-84996 | 202615:15-85000 | 202615:15-85025"
"ASST","ADMIN SEGURIDAD SALUD TRABAJO",19,13,6,"202615","202615:15-72620 | 202615:15-72621 | 202615:15-73002 | 202615:15-79711 | 202615:15-79726 | 202615:15-79730 | 202615:15-79753 | 202615:15-84574"
"COPD","CONTADURÍA PÚBLICA DISTANCIA",18,0,18,"202615","202615:15-72755 | 202615:15-84331 | 202615:15-85130 | 202615:15-85146 | 202615:15-85165 | 202615:15-85173 | 202615:15-85181 | 202615:15-85187"
"ISUM","INGENIERO DE SISTEMAS",15,8,7,"202610","202610:10-75688 | 202610:10-75889 | 202610:10-87332 | 202610:10-87335 | 202610:10-87337 | 202610:10-87342 | 202610:10-87346 | 202610:10-87347"
"LENG","Dep Comunicacion Escrita proce",15,4,11,"202610|202615","202615:15-72830 | 202615:15-84317 | 202615:15-84487 | 202615:15-84515 | 202615:15-84615 | 202615:15-84638 | 202615:15-84894 | 202615:15-84896"
"TLCI","Ins Formacion Trab y Des Human",14,1,13,"202612","202612:12-1138 | 202612:12-1139 | 202612:12-1140 | 202612:12-1141 | 202612:12-1142 | 202612:12-1144 | 202612:12-1145 | 202612:12-1146"
"MGIP","MS Gerencia Innovación Proyect",13,8,5,"202621","202621:21-79332 | 202621:21-79334 | 202621:21-79596 | 202621:21-79597 | 202621:21-79598 | 202621:21-79599 | 202621:21-79600 | 202621:21-79604"
"EGDH","ES GERENCIA DESAR HUMANO ORGAN",9,6,3,"202611","202611:11-75091 | 202611:11-75092 | 202611:11-75093 | 202611:11-75094 | 202611:11-75096 | 202611:11-75097 | 202611:11-75098 | 202611:11-75099"
"TRSD","Trabajador Social Distancia",9,8,1,"202615","202615:15-72828 | 202615:15-72834 | 202615:15-72836 | 202615:15-72837 | 202615:15-79515 | 202615:15-79522 | 202615:15-84469 | 202615:15-84492"
"DTR9","Vicerrectoria Regionales",8,0,8,"202685","202685:85-1830 | 202685:85-1831 | 202685:85-1832 | 202685:85-1833 | 202685:85-1834 | 202685:85-1835 | 202685:85-1836 | 202685:85-1837"
"VTMM","Vicerrectoria Academica",8,0,8,"202612","202612:12-1120 | 202612:12-1121 | 202612:12-1122 | 202612:12-1126 | 202612:12-1129 | 202612:12-1130 | 202612:12-1131 | 202612:12-1134"
"DDL9","Vicerrectoria Regionales",7,0,7,"202685","202685:85-1866 | 202685:85-1867 | 202685:85-1868 | 202685:85-1869 | 202685:85-1870 | 202685:85-1871 | 202685:85-1872"
