NRC;PERIODO;NOMBRE CURSO;PROGRAMA
15-72305;202615;Fundamentos de Matemáticas;Contaduría Pública Distancia - Sur
15-72307;202615;Cálculo Diferencial e Integral;Administración de Empresas - Sur
15-72308;202615;Proceso Administrativo;Administración en Seguridad y Salud en el Trabajo - Sur
15-72313;202615;Estadística Inferencia;Contaduría Pública Distancia - Sur
15-72314;202615;Dirección y Control;Administración de Empresas - Sur
15-72326;202615;Lectura y Escritura en el Cont;Contaduría Pública Distancia - Sur
15-72330;202615;Ergonomía;Administración en Seguridad y Salud en el Trabajo - Centro
15-72331;202615;Riesgos Mecánicos y Eléctricos;Administración en Seguridad y Salud en el Trabajo - Centro
15-72332;202615;Riesgos Físicos;Administración en Seguridad y Salud en el Trabajo - Centro
15-72334;202615;Epidemiología;Administración en Seguridad y Salud en el Trabajo - Centro
